,B1_FULL_ADDRESS,Lat,Lon,DBA
3889,2116 SHATTUCK AVE,37.87074,-122.26824,BURRITOS INC.
4066,2514 BANCROFT WAY,37.868774,-122.258716,JAMBA JUICE #150
4434,2550 DURANT AVE,37.867959,-122.257833,UNITED CAFE
4453,2984 RUSSELL ST,37.858968,-122.245005,THE STATION
4572,2518 DURANT AVE B,37.867905,-122.258265,SENIORE'S PIZZA
4589,2242 BANCROFT WAY,37.868001,-122.264768,BLUE DOOR
4684,3264 ADELINE ST,37.849142,-122.271362,DOMINO'S PIZZA #7901
4976,1512 NORTH ST,37.878367,-122.278065,ELSER ULI
5281,2055 CENTER ST,37.870135,-122.269344,LA BOTELLA REPUBLIC
5325,1199 UNIVERSITY AVE,37.86946,-122.28975,FOSTER FREEZE
5475,2830 SACRAMENTO ST,37.85641,-122.279765,DJELLOUL ROUABAH
5865,2375 TELEGRAPH AVE,37.86717,-122.258863,FAT SLICE
5949,920 HEINZ AVE,37.853824,-122.290222,B-DAMA
6061,3084 CLAREMONT AVE,37.854258,-122.248381,SOUVENIR COFFEE
6111,1704 UNIVERSITY AVE,37.870936,-122.277426,MAYA CAFE
6407,1511 SHATTUCK AVE B,37.879781,-122.269181,HERB N' CHICKEN
6471,1707 SOLANO AVE,37.8912,-122.282382,DIVA ROBIN
6485,61 SHATTUCK SQ,37.871606,-122.267766,PEOPLE'S CAFE
6595,1796 SHATTUCK AVE,37.874824,-122.268763,FERTILE GROUNDS CAFE
6660,2109 MILVIA ST,37.870688,-122.270619,DA BOMB SHACK
6746,2172 SHATTUCK AVE,37.869761,-122.267993,IKE'S LOVE & SANDWICHES
6860,1870 EUCLID AVE,37.875305,-122.260185,URBANN TURBANN
6974,2120 DWIGHT WAY,37.86403,-122.26689,WAY STATION BREW
7256,2344 TELEGRAPH AVE,37.867891,-122.25901,NOAH'S NEW YORK BAGELS #2108
7464,2468 TELEGRAPH AVE A,37.865706,-122.258559,LITTLE GEM BELGIAN WAFFLES LLC
7609,2519 DURANT AVE,37.867935,-122.258021,THAI BASIL CUISINE OF THAILAND
7866,1725 UNIVERSITY AVE,37.871132,-122.276743,SPOONROCKET INC
7946,1901 UNIVERSITY AVE,37.871632,-122.272793,KOBANI KURDISH & MEDITERRANEAN GRILL
8096,2556 TELEGRAPH AVE 8,37.863888,-122.258655,KORYO BBQ
8322,2510 CHANNING WAY,37.866977,-122.258358,MONTAGUE'S SANDWICHES
8348,1782 FOURTH ST,37.870334,-122.300763,POMPETTE
8469,2106 SHATTUCK AVE,37.871054,-122.268275,GOLDENRAIN CORPORATION
8925,1823 SOLANO AVE,37.891367,-122.279258,BOPSHOP KOREAN KITCHEN
9060,1809 FOURTH ST A,37.869721,-122.300563,A DORA PIE INC
9201,2965 COLLEGE AVE,37.856938,-122.253042,TIMELESS COFFEE  LLC
9541,2505 HEARST AVE D,37.875072,-122.260226,THE SNACK SHACK
9609,1025 GILMAN ST,37.880245,-122.296973,GENJI PACIFIC LLC
9708,2055 CENTER ST D,37.870135,-122.269344,THE BREWERY ON HALF MOON BAY
9773,2131 DURANT AVE,37.866846,-122.266434,PIPELINE CAFE
9810,1717 FOURTH ST B,37.871086,-122.301002,ARTIS COFFEE ROASTERS
9883,2049 SAN PABLO AVE,37.868619,-122.291899,CAFE CROSTA
9988,2037 SHATTUCK AVE,37.871319,-122.268315,THARAPHU
10156,2322 SHATTUCK AVE 315,37.867185,-122.267803,JUDY OLSON'S CHAI TEA
