,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
3201,THEFT MISD. (UNDER $950),LARCENY,100 UNIVERSITY AVE,37.86331,-122.316113
4828,NARCOTICS,DRUG VIOLATION,SECOND STREET & UNIVERSITY AVE,37.866981,-122.302083
4840,ROBBERY,ROBBERY,2100 SHATTUCK AVE,37.871167,-122.268285
2596,NARCOTICS,DRUG VIOLATION,2200 SHATTUCK AVE,37.869363,-122.268028
4692,VANDALISM,VANDALISM,1700 DERBY ST,37.859259,-122.275787
1309,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
2564,NARCOTICS,DRUG VIOLATION,DWIGHT WAY & BOWDITCH ST,37.86542,-122.25618
217,FRAUD/FORGERY,FRAUD,2500 LE CONTE AVE,37.876965,-122.260544
3497,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 SECOND ST,37.869594,-122.30292
3784,BURGLARY AUTO,BURGLARY - VEHICLE,FOURTH STREET & ALLSTON WAY,37.864836,-122.299024
3574,DISTURBANCE,DISORDERLY CONDUCT,2000 SHATTUCK AVE,37.8719,-122.268389
3176,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
4603,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1400 HEARST AVE,37.871607,-122.284336
4339,DISTURBANCE,DISORDERLY CONDUCT,200 UNIVERSITY AVE,37.865491,-122.310065
1737,ASSAULT/BATTERY MISD.,ASSAULT,1200 UNIVERSITY AVE,37.869385,-122.28953
4206,BURGLARY AUTO,BURGLARY - VEHICLE,ALLSTON WAY & MILVIA ST,37.869057,-122.270463
4246,IDENTITY THEFT,FRAUD,1900 HASTE ST,37.864258,-122.272202
5126,NARCOTICS,DRUG VIOLATION,1400 ADDISON ST,37.869186,-122.283943
3030,ROBBERY,ROBBERY,2500 SHATTUCK AVE,37.863811,-122.267412
4407,ASSAULT/BATTERY MISD.,ASSAULT,1200 ASHBY AVE,37.852211,-122.286336
4494,THEFT FELONY (OVER $950),LARCENY,1500 UNIVERSITY AVE,37.870396,-122.281585
1159,THEFT FELONY (OVER $950),LARCENY,2000 DURANT AVE,37.866426,-122.269762
1631,ROBBERY,ROBBERY,1300 ALCATRAZ AVE,37.847446,-122.281146
3456,ROBBERY,ROBBERY,1500 OXFORD ST,37.880519,-122.267051
593,THEFT MISD. (UNDER $950),LARCENY,1400 BONITA AVE,37.881433,-122.272921
323,BURGLARY AUTO,BURGLARY - VEHICLE,1100 UNIVERSITY AVE,37.869067,-122.292043
1330,IDENTITY THEFT,FRAUD,3100 CLAREMONT AVE,37.854002,-122.248587
617,VANDALISM,VANDALISM,2000 NINTH ST,37.868591,-122.294393
1893,VEHICLE STOLEN,MOTOR VEHICLE THEFT,DELAWARE STREET & SACRAMENTO ST,37.873055,-122.282337
4548,BURGLARY AUTO,BURGLARY - VEHICLE,1900 SAN PABLO AVE,37.870236,-122.292591
1279,BURGLARY AUTO,BURGLARY - VEHICLE,1300 SIXTH ST,37.879335,-122.301332
652,THEFT MISD. (UNDER $950),LARCENY,1100 SAN PABLO AVE,37.88382,-122.296952
1931,DISTURBANCE,DISORDERLY CONDUCT,2000 SHATTUCK AVE,37.8719,-122.268389
554,BURGLARY AUTO,BURGLARY - VEHICLE,2500 SAN PABLO AVE,37.861078,-122.289632
182,BURGLARY AUTO,BURGLARY - VEHICLE,ALLSTON WAY & SHATTUCK AVE,37.86939,-122.267883
2951,VEHICLE STOLEN,MOTOR VEHICLE THEFT,100 ALVARADO RD,37.857707,-122.239858
1207,BURGLARY AUTO,BURGLARY - VEHICLE,900 SHATTUCK AVE,37.890945,-122.271126
2457,ROBBERY,ROBBERY,TELEGRAPH AVENUE & DURANT AVE,37.867816,-122.258994
697,DISTURBANCE,DISORDERLY CONDUCT,2100 SHATTUCK AVE,37.871167,-122.268285
4515,THEFT MISD. (UNDER $950),LARCENY,3000 BUENA VISTA WAY,37.88378,-122.255475
1815,BURGLARY AUTO,BURGLARY - VEHICLE,70 STONEWALL RD,37.862078,-122.243899
2362,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AVE,37.881957,-122.269551
5152,ASSAULT/BATTERY FEL.,ASSAULT,2800 TELEGRAPH AVE,37.859309,-122.259291
4262,VANDALISM,VANDALISM,2100 CURTIS ST,37.8686,-122.289385
3053,BURGLARY AUTO,BURGLARY - VEHICLE,UNIVERSITY AVENUE & FIFTH ST,37.867639,-122.298782
747,DISTURBANCE,DISORDERLY CONDUCT,THE ALAMEDA & SOLANO AVE,37.891441,-122.277078
1051,SEXUAL ASSAULT FEL.,SEX CRIME,1700 UNIVERSITY AVE,37.870948,-122.27733
4256,BURGLARY AUTO,BURGLARY - VEHICLE,2100 LOS ANGELES AVE,37.889379,-122.268919
1016,VANDALISM,VANDALISM,2100 MILVIA ST,37.870603,-122.270612
49,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1400 DERBY ST,37.858448,-122.282308
2286,DISTURBANCE,DISORDERLY CONDUCT,1500 HEARST AVE,37.872158,-122.282066
2731,MISSING ADULT,MISSING PERSON,2000 ESSEX ST,37.853552,-122.268286
66,BURGLARY AUTO,BURGLARY - VEHICLE,2500 HASTE ST,37.866025,-122.258623
3965,ASSAULT/BATTERY MISD.,ASSAULT,1600 JULIA ST,37.854442,-122.277107
4275,THEFT MISD. (UNDER $950),LARCENY,3000 TELEGRAPH AVE,37.855435,-122.259841
5408,ASSAULT/BATTERY MISD.,ASSAULT,2000 CENTER ST,37.869973,-122.270557
2060,THEFT MISD. (UNDER $950),LARCENY,1400 BONITA AVE,37.881433,-122.272921
5141,DISTURBANCE,DISORDERLY CONDUCT,2500 DURANT AVE,37.867852,-122.258699
4017,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2000 ALLSTON WAY,37.869096,-122.270137
5429,THEFT FELONY (OVER $950),LARCENY,1900 CENTER ST,37.869685,-122.272804
5324,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1300 POE ST,37.864257,-122.286413
4610,BURGLARY AUTO,BURGLARY - VEHICLE,1700 FRANCISCO ST,37.874581,-122.277744
4374,VANDALISM,VANDALISM,OREGON STREET & MILVIA ST,37.857316,-122.269156
3533,THEFT MISD. (UNDER $950),LARCENY,1370 UNIVERSITY AVE,37.869986,-122.284805
2067,NARCOTICS,DRUG VIOLATION,2900 ADELINE ST,37.856121,-122.26876
1275,IDENTITY THEFT,FRAUD,1100 HIGH CT,37.888702,-122.26371
284,THEFT FROM AUTO,LARCENY - FROM VEHICLE,3000 BATEMAN ST,37.855721,-122.2559
3036,THEFT FELONY (OVER $950),LARCENY,2000 LINCOLN ST,37.877232,-122.271244
3196,THEFT MISD. (UNDER $950),LARCENY,1900 ALLSTON WAY,37.868785,-122.272701
4946,ROBBERY,ROBBERY,2500 SHATTUCK AVE,37.863811,-122.267412
3400,ASSAULT/BATTERY MISD.,ASSAULT,2000 ALLSTON WAY,37.869096,-122.270137
2379,VEHICLE STOLEN,MOTOR VEHICLE THEFT,SHATTUCK AVENUE & ROSE ST,37.88205,-122.269454
5354,ASSAULT/BATTERY MISD.,ASSAULT,HASTE STREET & BOWDITCH ST,37.866311,-122.256361
4607,THEFT MISD. (UNDER $950),LARCENY,2500 DURANT AVE,37.867852,-122.258699
2941,BURGLARY AUTO,BURGLARY - VEHICLE,1800 WARD ST,37.858673,-122.273365
881,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2700 DURANT AVE,37.868352,-122.254459
151,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2000 BANCROFT WAY,37.867336,-122.269876
3645,NARCOTICS,DRUG VIOLATION,1900 ALLSTON WAY,37.868785,-122.272701
3629,IDENTITY THEFT,FRAUD,1800 HARMON ST,37.849512,-122.272671
2981,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DWIGHT WAY,37.864826,-122.260719
2115,IDENTITY THEFT,FRAUD,2300 WARRING ST,37.869137,-122.250908
1402,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1900 ALLSTON WAY,37.868785,-122.272701
3367,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,800 COLUSA AVE,37.893696,-122.281105
4793,BURGLARY AUTO,BURGLARY - VEHICLE,2300 SAN PABLO AVE,37.864411,-122.290705
137,BURGLARY AUTO,BURGLARY - VEHICLE,2100 ESSEX ST,37.853861,-122.26598
4862,THEFT FELONY (OVER $950),LARCENY,1700 FOURTH ST,37.871268,-122.30106
3706,ROBBERY,ROBBERY,2300 SHATTUCK AVE,37.867176,-122.267802
4064,ASSAULT/BATTERY FEL.,ASSAULT,1600 MILVIA ST,37.877951,-122.271395
1604,THEFT MISD. (UNDER $950),LARCENY,2500 BANCROFT WAY,37.868722,-122.259123
10,THEFT MISD. (UNDER $950),LARCENY,2500 COLLEGE AVE,37.865711,-122.25389
3989,VANDALISM,VANDALISM,CHANNING WAY & SPAULDING AVE,37.864144,-122.280257
1392,THEFT MISD. (UNDER $950),LARCENY,1600 LINCOLN ST,37.876084,-122.280105
2304,NARCOTICS,DRUG VIOLATION,HILLEGASS AVENUE & DWIGHT WAY,37.865374,-122.256511
157,BURGLARY AUTO,BURGLARY - VEHICLE,1800 SAN JUAN AVE,37.898645,-122.280593
4739,ASSAULT/BATTERY MISD.,ASSAULT,BOWDITCH STREET & HASTE ST,37.866311,-122.256361
2143,NARCOTICS,DRUG VIOLATION,ALCATRAZ AVENUE & COLLEGE AVE,37.851263,-122.252477
1379,ASSAULT/BATTERY MISD.,ASSAULT,1400 SHATTUCK AVE,37.881957,-122.269551
1226,VANDALISM,VANDALISM,1600 JULIA ST,37.854442,-122.277107
1678,THEFT MISD. (UNDER $950),LARCENY,1700 WALNUT ST,37.876595,-122.267789
1618,ROBBERY,ROBBERY,2600 TELEGRAPH AVE,37.862927,-122.258784
4131,THEFT FELONY (OVER $950),LARCENY,1300 SAN PABLO AVE,37.880262,-122.295809
4891,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1500 THOUSAND OAKS BLVD,37.896598,-122.28704
3968,BURGLARY AUTO,BURGLARY - VEHICLE,2000 HEARST AVE,37.873639,-122.27064
413,THEFT FELONY (OVER $950),LARCENY,2700 COLLEGE AVE,37.861645,-122.253508
1088,VANDALISM,VANDALISM,2700 SAN PABLO AVENUE 301,37.857743,-122.288545
664,VANDALISM,VANDALISM,1400 SIXTH ST,37.877417,-122.300713
3029,THEFT MISD. (UNDER $950),LARCENY,2500 TELEGRAPH AVE,37.865009,-122.258767
95,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 DOHR ST,37.855692,-122.281259
4333,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 STANTON ST,37.855815,-122.280413
1801,BURGLARY AUTO,BURGLARY - VEHICLE,2100 BROWNING ST,37.868616,-122.288365
2524,BURGLARY AUTO,BURGLARY - VEHICLE,1700 FOURTH ST,37.871268,-122.30106
1809,GUN/WEAPON,WEAPONS OFFENSE,2000 CENTER ST,37.869973,-122.270557
713,THEFT FELONY (OVER $950),LARCENY,2700 RUSSELL ST,37.858518,-122.252653
2930,ASSAULT/BATTERY FEL.,ASSAULT,HARRISON STREET & TENTH ST,37.882024,-122.29756
700,FRAUD/FORGERY,FRAUD,2000 FOURTH ST,37.867026,-122.299737
474,IDENTITY THEFT,FRAUD,600 SPRUCE ST,37.899602,-122.271102
5143,DISTURBANCE,DISORDERLY CONDUCT,1900 ALLSTON WAY,37.868785,-122.272701
2446,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 FAIRVIEW ST,37.850434,-122.272607
4990,ROBBERY,ROBBERY,ALLSTON WAY & MILVIA ST,37.869057,-122.270463
404,THEFT MISD. (UNDER $950),LARCENY,2400 DURANT AVE,37.867513,-122.26127
1572,ROBBERY,ROBBERY,2900 ASHBY AVE,37.857869,-122.248398
2107,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,900 MENDOCINO AVE,37.891827,-122.275094
312,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 COLLEGE AVE,37.859988,-122.253339
3014,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & MILVIA ST,37.869057,-122.270463
4051,THEFT MISD. (UNDER $950),LARCENY,1800 WEST ST,37.872468,-122.286902
324,THEFT FELONY (OVER $950),LARCENY,1500 FAIRVIEW ST,37.849747,-122.277907
